allocation,best_pick_vote,borda_points,candidate_display_order,candidate_id,display_id,domain,evaluator,evaluator_id,evaluator_model,placeholder_reason,prompt_id,raw_output,reason,vote_repair_count,vote_repairs_json
1.0,1.0,3.0,"B,C,A,D",A,A,writing,normal_01,google/gemma-3-12b-it::normal_01,google/gemma-3-12b-it,False,p011,"```json
{""votes"":{""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""D""],[""C""]],""signed_allocation_reason"":""Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":100},{""candidate_id"":""B"",""cents"":0},{""candidate_id"":""C"",""cents"":0},{""candidate_id"":""D"",""cents"":0}],""absolute_cents_total"":100}}
```","Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail.",0,[]
0.0,0.0,2.0,"B,C,A,D",B,B,writing,normal_01,google/gemma-3-12b-it::normal_01,google/gemma-3-12b-it,False,p011,"```json
{""votes"":{""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""D""],[""C""]],""signed_allocation_reason"":""Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":100},{""candidate_id"":""B"",""cents"":0},{""candidate_id"":""C"",""cents"":0},{""candidate_id"":""D"",""cents"":0}],""absolute_cents_total"":100}}
```","Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail.",0,[]
0.0,0.0,0.0,"B,C,A,D",C,C,writing,normal_01,google/gemma-3-12b-it::normal_01,google/gemma-3-12b-it,False,p011,"```json
{""votes"":{""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""D""],[""C""]],""signed_allocation_reason"":""Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":100},{""candidate_id"":""B"",""cents"":0},{""candidate_id"":""C"",""cents"":0},{""candidate_id"":""D"",""cents"":0}],""absolute_cents_total"":100}}
```","Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail.",0,[]
0.0,0.0,1.0,"B,C,A,D",D,D,writing,normal_01,google/gemma-3-12b-it::normal_01,google/gemma-3-12b-it,False,p011,"```json
{""votes"":{""best_pick"":""A"",""borda_ranking"":[[""A""],[""B""],[""D""],[""C""]],""signed_allocation_reason"":""Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":100},{""candidate_id"":""B"",""cents"":0},{""candidate_id"":""C"",""cents"":0},{""candidate_id"":""D"",""cents"":0}],""absolute_cents_total"":100}}
```","Candidate A is the most concise and directly addresses the prompt's requirements, while others are overly verbose or add unnecessary detail.",0,[]
0.2727272727272727,0.0,2.0,"A,C,B,D",A,A,ethics_policy,normal_04,google/gemma-3-12b-it::normal_04,google/gemma-3-12b-it,False,p043,"```json
{""votes"":{""best_pick"":""C"",""borda_ranking"":[[""C""],[""A""],[""D""],[""B""]],""signed_allocation_reason"":""Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":30},{""candidate_id"":""B"",""cents"":-10},{""candidate_id"":""C"",""cents"":60},{""candidate_id"":""D"",""cents"":10}],""absolute_cents_total"":100}}
```","Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth.",2,"[""corrected_absolute_cents_total:100->110"", ""normalized_signed_allocation_cents_l1:110""]"
-0.09090909090909091,0.0,0.0,"A,C,B,D",B,B,ethics_policy,normal_04,google/gemma-3-12b-it::normal_04,google/gemma-3-12b-it,False,p043,"```json
{""votes"":{""best_pick"":""C"",""borda_ranking"":[[""C""],[""A""],[""D""],[""B""]],""signed_allocation_reason"":""Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":30},{""candidate_id"":""B"",""cents"":-10},{""candidate_id"":""C"",""cents"":60},{""candidate_id"":""D"",""cents"":10}],""absolute_cents_total"":100}}
```","Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth.",2,"[""corrected_absolute_cents_total:100->110"", ""normalized_signed_allocation_cents_l1:110""]"
0.5454545454545454,1.0,3.0,"A,C,B,D",C,C,ethics_policy,normal_04,google/gemma-3-12b-it::normal_04,google/gemma-3-12b-it,False,p043,"```json
{""votes"":{""best_pick"":""C"",""borda_ranking"":[[""C""],[""A""],[""D""],[""B""]],""signed_allocation_reason"":""Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":30},{""candidate_id"":""B"",""cents"":-10},{""candidate_id"":""C"",""cents"":60},{""candidate_id"":""D"",""cents"":10}],""absolute_cents_total"":100}}
```","Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth.",2,"[""corrected_absolute_cents_total:100->110"", ""normalized_signed_allocation_cents_l1:110""]"
0.09090909090909091,0.0,1.0,"A,C,B,D",D,D,ethics_policy,normal_04,google/gemma-3-12b-it::normal_04,google/gemma-3-12b-it,False,p043,"```json
{""votes"":{""best_pick"":""C"",""borda_ranking"":[[""C""],[""A""],[""D""],[""B""]],""signed_allocation_reason"":""Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":30},{""candidate_id"":""B"",""cents"":-10},{""candidate_id"":""C"",""cents"":60},{""candidate_id"":""D"",""cents"":10}],""absolute_cents_total"":100}}
```","Candidate C provides the most comprehensive and well-structured response, detailing benefits, risks, and oversight with clear subheadings and explanations, while A is a good summary but lacks depth.",2,"[""corrected_absolute_cents_total:100->110"", ""normalized_signed_allocation_cents_l1:110""]"
0.1,0.0,1.0,"A,B,D,C",A,A,factual_qa,normal_03,google/gemma-3-12b-it::normal_03,google/gemma-3-12b-it,False,p004,"```json
{""votes"":{""best_pick"":""D"",""borda_ranking"":[[""D""],[""B""],[""A""],[""C""]],""signed_allocation_reason"":""Candidate D provides the most comprehensive and detailed explanation, covering all requested elements with clarity and sufficient depth, while the others are more concise but lack some detail."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":10},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":10},{""candidate_id"":""D"",""cents"":60}],""absolute_cents_total"":100}}
```","Candidate D provides the most comprehensive and detailed explanation, covering all requested elements with clarity and sufficient depth, while the others are more concise but lack some detail.",0,[]
0.2,0.0,2.0,"A,B,D,C",B,B,factual_qa,normal_03,google/gemma-3-12b-it::normal_03,google/gemma-3-12b-it,False,p004,"```json
{""votes"":{""best_pick"":""D"",""borda_ranking"":[[""D""],[""B""],[""A""],[""C""]],""signed_allocation_reason"":""Candidate D provides the most comprehensive and detailed explanation, covering all requested elements with clarity and sufficient depth, while the others are more concise but lack some detail."",""signed_allocation_cents"":[{""candidate_id"":""A"",""cents"":10},{""candidate_id"":""B"",""cents"":20},{""candidate_id"":""C"",""cents"":10},{""candidate_id"":""D"",""cents"":60}],""absolute_cents_total"":100}}
```","Candidate D provides the most comprehensive and detailed explanation, covering all requested elements with clarity and sufficient depth, while the others are more concise but lack some detail.",0,[]
