candidate_rows,duplicate_score_count,duplicate_score_rate,evaluator_id,prompt_id,unique_scores
4,2,0.5,google/gemma-3-12b-it::normal_01,p001,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p001,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p001,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p001,2
4,0,0.0,google/gemma-3-12b-it::normal_01,p002,4
4,2,0.5,google/gemma-3-12b-it::normal_02,p002,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p002,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p002,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p003,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p003,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p003,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p003,2
4,1,0.25,google/gemma-3-12b-it::normal_01,p004,3
4,0,0.0,google/gemma-3-12b-it::normal_02,p004,4
4,1,0.25,google/gemma-3-12b-it::normal_03,p004,3
4,2,0.5,google/gemma-3-12b-it::normal_04,p004,2
4,0,0.0,google/gemma-3-12b-it::normal_01,p005,4
4,2,0.5,google/gemma-3-12b-it::normal_02,p005,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p005,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p005,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p006,2
4,1,0.25,google/gemma-3-12b-it::normal_02,p006,3
4,1,0.25,google/gemma-3-12b-it::normal_03,p006,3
4,1,0.25,google/gemma-3-12b-it::normal_04,p006,3
4,2,0.5,google/gemma-3-12b-it::normal_01,p007,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p007,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p007,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p007,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p008,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p008,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p008,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p008,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p009,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p009,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p009,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p009,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p010,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p010,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p010,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p010,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p011,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p011,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p011,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p011,2
4,1,0.25,google/gemma-3-12b-it::normal_01,p012,3
4,1,0.25,google/gemma-3-12b-it::normal_02,p012,3
4,2,0.5,google/gemma-3-12b-it::normal_03,p012,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p012,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p013,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p013,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p013,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p013,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p014,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p014,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p014,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p014,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p015,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p015,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p015,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p015,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p016,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p016,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p016,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p016,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p017,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p017,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p017,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p017,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p018,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p018,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p018,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p018,2
4,0,0.0,google/gemma-3-12b-it::normal_01,p019,4
4,0,0.0,google/gemma-3-12b-it::normal_02,p019,4
4,2,0.5,google/gemma-3-12b-it::normal_03,p019,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p019,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p020,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p020,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p020,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p020,2
4,0,0.0,google/gemma-3-12b-it::normal_01,p021,4
4,2,0.5,google/gemma-3-12b-it::normal_02,p021,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p021,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p021,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p022,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p022,2
4,2,0.5,google/gemma-3-12b-it::normal_03,p022,2
4,2,0.5,google/gemma-3-12b-it::normal_04,p022,2
4,2,0.5,google/gemma-3-12b-it::normal_01,p023,2
4,2,0.5,google/gemma-3-12b-it::normal_02,p023,2
