allocation,allocation_recovered_from_invalid,allocation_retry_count,ballot_id,ballot_index,baseline_replicate_index,best_pick_vote,borda_points,candidate_id,condition,direction,display_id,domain,effective_strength,evaluator_id,fresh_baseline_bottom_candidate_id,fresh_baseline_rank,fresh_baseline_top_candidate_id,intervention,is_target_candidate,parse_error,prompt_id,raw_absolute_total,strength,strict_allocation_errors_json,strict_allocation_valid,target_fresh_baseline_rank,target_policy,vote_repair_count,vote_repairs_json,baseline_allocation,baseline_best_pick_vote,baseline_borda_points,baseline_role,baseline_middle_rank,delta_allocation,delta_borda,delta_best_pick,abs_delta_allocation,parse_failed,target_candidate_id,target_baseline_role,target_baseline_allocation,target_allocation,target_delta_allocation,target_delta_borda,target_delta_best_pick
0.75,True,3,p032::Qwen/Qwen2.5-7B-Instruct::normal_01,43,,1,3.0,D,steered,help,D,reasoning,9.319350256336216,Qwen/Qwen2.5-7B-Instruct::normal_01,D,4.0,B,help_to_bottom,False,strict_allocation_invalid_recovered:absolute_cents_total_not_numeric,p032,100.0,0.2,"[""absolute_cents_total_not_numeric""]",False,3.0,bottom,0.0,[],-0.1428571428571428,0,1.0,middle,4.0,0.8928571428571428,2.0,1,0.8928571428571428,True,C,bottom,-0.1428571428571428,-0.25,-0.1071428571428572,0.0,0
0.75,True,3,p032::Qwen/Qwen2.5-7B-Instruct::normal_01,43,,1,3.0,D,steered,neg_hurt,D,reasoning,9.319350256336216,Qwen/Qwen2.5-7B-Instruct::normal_01,D,4.0,B,neg_hurt_to_bottom,False,strict_allocation_invalid_recovered:absolute_cents_total_not_numeric,p032,100.0,0.2,"[""absolute_cents_total_not_numeric""]",False,3.0,bottom,0.0,[],-0.1428571428571428,0,1.0,middle,4.0,0.8928571428571428,2.0,1,0.8928571428571428,True,C,bottom,-0.1428571428571428,-0.25,-0.1071428571428572,0.0,0
0.75,False,1,p032::Qwen/Qwen2.5-7B-Instruct::normal_01,43,,1,3.0,D,steered,random2,D,reasoning,2.329837564084054,Qwen/Qwen2.5-7B-Instruct::normal_01,D,4.0,B,random2_to_bottom,False,,p032,100.0,0.05,[],True,3.0,bottom,0.0,[],-0.1428571428571428,0,1.0,middle,4.0,0.8928571428571428,2.0,1,0.8928571428571428,False,C,bottom,-0.1428571428571428,-0.25,-0.1071428571428572,0.0,0
-0.4166666666666667,True,3,p006::Qwen/Qwen2.5-7B-Instruct::normal_02,38,,0,0.0,A,steered,hurt,A,reasoning,4.659675128168108,Qwen/Qwen2.5-7B-Instruct::normal_02,D,2.0,B,hurt_to_top,False,strict_allocation_invalid_recovered:cents_out_of_range:D;missing_candidates:D,p006,,0.1,"[""cents_out_of_range:D"", ""missing_candidates:D""]",False,1.0,top,3.0,"[""clamped_cents:D"", ""corrected_absolute_cents_total:100->240"", ""normalized_signed_allocation_cents_l1:240""]",0.2857142857142857,0,1.5,middle,2.0,-0.7023809523809523,-1.5,0,0.7023809523809523,True,B,top,0.4285714285714285,-0.0625,-0.4910714285714285,-2.0,-1
0.5,False,0,p032::Qwen/Qwen2.5-7B-Instruct::normal_01,43,,1,3.0,D,steered,help,D,reasoning,4.659675128168108,Qwen/Qwen2.5-7B-Instruct::normal_01,D,4.0,B,help_to_top,False,,p032,100.0,0.1,[],True,1.0,top,0.0,[],-0.1428571428571428,0,1.0,middle,4.0,0.6428571428571428,2.0,1,0.6428571428571428,False,B,top,0.4285714285714285,0.0,-0.4285714285714285,-2.0,-1
0.5,False,0,p032::Qwen/Qwen2.5-7B-Instruct::normal_01,43,,1,3.0,D,steered,random,D,reasoning,4.659675128168108,Qwen/Qwen2.5-7B-Instruct::normal_01,D,4.0,B,random_to_top,False,,p032,100.0,0.1,[],True,1.0,top,0.0,[],-0.1428571428571428,0,1.0,middle,4.0,0.6428571428571428,2.0,1,0.6428571428571428,False,B,top,0.4285714285714285,0.0,-0.4285714285714285,-2.0,-1
0.4736842105263158,True,3,p032::Qwen/Qwen2.5-7B-Instruct::normal_01,43,,1,3.0,D,steered,random2,D,reasoning,9.319350256336216,Qwen/Qwen2.5-7B-Instruct::normal_01,D,4.0,B,random2_to_top,False,strict_allocation_invalid_recovered:absolute_total:95,p032,95.0,0.2,"[""absolute_total:95""]",False,1.0,top,2.0,"[""corrected_absolute_cents_total:100->95"", ""normalized_signed_allocation_cents_l1:95""]",-0.1428571428571428,0,1.0,middle,4.0,0.6165413533834586,2.0,1,0.6165413533834586,True,B,top,0.4285714285714285,0.1578947368421052,-0.2706766917293233,-2.0,-1
0.4736842105263158,True,3,p032::Qwen/Qwen2.5-7B-Instruct::normal_01,43,,1,3.0,D,steered,random3,D,reasoning,9.319350256336216,Qwen/Qwen2.5-7B-Instruct::normal_01,D,4.0,B,random3_to_top,False,strict_allocation_invalid_recovered:absolute_total:95;absolute_cents_total_not_numeric,p032,95.0,0.2,"[""absolute_total:95"", ""absolute_cents_total_not_numeric""]",False,1.0,top,1.0,"[""normalized_signed_allocation_cents_l1:95""]",-0.1428571428571428,0,1.0,middle,4.0,0.6165413533834586,2.0,1,0.6165413533834586,True,B,top,0.4285714285714285,0.1578947368421052,-0.2706766917293233,-2.0,-1
0.4761904761904761,True,3,p037::Qwen/Qwen2.5-7B-Instruct::normal_03,28,,1,3.0,A,steered,random2,A,instruction_following,4.659675128168108,Qwen/Qwen2.5-7B-Instruct::normal_03,C,2.0,B,random2_to_top,False,strict_allocation_invalid_recovered:absolute_total:105;absolute_cents_total_not_numeric,p037,105.0,0.1,"[""absolute_total:105"", ""absolute_cents_total_not_numeric""]",False,1.0,top,2.0,"[""inferred_best_pick_from_signed_allocation_cents"", ""normalized_signed_allocation_cents_l1:105""]",-0.1339285714285714,0,0.0,middle,2.0,0.6101190476190474,3.0,1,0.6101190476190474,True,B,top,0.4017857142857142,0.238095238095238,-0.1636904761904762,-1.0,-1
0.4761904761904761,True,3,p037::Qwen/Qwen2.5-7B-Instruct::normal_03,28,,1,3.0,A,steered,neg_help,A,instruction_following,2.329837564084054,Qwen/Qwen2.5-7B-Instruct::normal_03,C,2.0,B,neg_help_to_top,False,strict_allocation_invalid_recovered:absolute_total:105,p037,105.0,0.05,"[""absolute_total:105""]",False,1.0,top,3.0,"[""inferred_best_pick_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->105"", ""normalized_signed_allocation_cents_l1:105""]",-0.1339285714285714,0,0.0,middle,2.0,0.6101190476190474,3.0,1,0.6101190476190474,True,B,top,0.4017857142857142,0.238095238095238,-0.1636904761904762,-1.0,-1
