allocation,allocation_recovered_from_invalid,allocation_retry_count,ballot_id,ballot_index,baseline_replicate_index,best_pick_vote,borda_points,candidate_id,condition,direction,display_id,domain,effective_strength,evaluator_id,fresh_baseline_bottom_candidate_id,fresh_baseline_rank,fresh_baseline_top_candidate_id,intervention,is_target_candidate,parse_error,prompt_id,raw_absolute_total,strength,strict_allocation_errors_json,strict_allocation_valid,target_candidate_id,target_display_id,target_fresh_baseline_rank,target_policy,vote_repair_count,vote_repairs_json
0.40178571428571425,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,0.0,1,3.0,A,baseline,,A,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,1.0,A,baseline,False,strict_allocation_invalid_recovered:absolute_total:112;absolute_cents_total_not_numeric,p027,112.0,0.0,"[""absolute_total:112"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->112"", ""normalized_signed_allocation_cents_l1:112""]"
0.26785714285714285,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,0.0,0,2.0,B,baseline,,B,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,2.0,A,baseline,False,strict_allocation_invalid_recovered:absolute_total:112;absolute_cents_total_not_numeric,p027,112.0,0.0,"[""absolute_total:112"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->112"", ""normalized_signed_allocation_cents_l1:112""]"
-0.2232142857142857,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,0.0,0,0.0,C,baseline,,C,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,4.0,A,baseline,False,strict_allocation_invalid_recovered:absolute_total:112;absolute_cents_total_not_numeric,p027,112.0,0.0,"[""absolute_total:112"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->112"", ""normalized_signed_allocation_cents_l1:112""]"
-0.10714285714285712,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,0.0,0,1.0,D,baseline,,D,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,3.0,A,baseline,False,strict_allocation_invalid_recovered:absolute_total:112;absolute_cents_total_not_numeric,p027,112.0,0.0,"[""absolute_total:112"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->112"", ""normalized_signed_allocation_cents_l1:112""]"
0.4054054054054054,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,1.0,1,3.0,A,baseline_replicate,,A,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,1.0,A,baseline_replicate,False,strict_allocation_invalid_recovered:absolute_total:111;absolute_cents_total_not_numeric,p027,111.0,0.0,"[""absolute_total:111"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->111"", ""normalized_signed_allocation_cents_l1:111""]"
0.27027027027027023,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,1.0,0,2.0,B,baseline_replicate,,B,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,2.0,A,baseline_replicate,False,strict_allocation_invalid_recovered:absolute_total:111;absolute_cents_total_not_numeric,p027,111.0,0.0,"[""absolute_total:111"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->111"", ""normalized_signed_allocation_cents_l1:111""]"
-0.2252252252252252,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,1.0,0,0.0,C,baseline_replicate,,C,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,4.0,A,baseline_replicate,False,strict_allocation_invalid_recovered:absolute_total:111;absolute_cents_total_not_numeric,p027,111.0,0.0,"[""absolute_total:111"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->111"", ""normalized_signed_allocation_cents_l1:111""]"
-0.09909909909909909,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,1.0,0,1.0,D,baseline_replicate,,D,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,3.0,A,baseline_replicate,False,strict_allocation_invalid_recovered:absolute_total:111;absolute_cents_total_not_numeric,p027,111.0,0.0,"[""absolute_total:111"", ""absolute_cents_total_not_numeric""]",False,,,,,5.0,"[""copied_top_level_absolute_cents_total"", ""inferred_best_pick_from_signed_allocation_cents"", ""inferred_borda_from_signed_allocation_cents"", ""corrected_absolute_cents_total:100->111"", ""normalized_signed_allocation_cents_l1:111""]"
0.4054054054054054,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,2.0,1,3.0,A,baseline_replicate,,A,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,1.0,A,baseline_replicate,False,strict_allocation_invalid_recovered:absolute_total:111,p027,111.0,0.0,"[""absolute_total:111""]",False,,,,,4.0,"[""copied_top_level_borda_ranking"", ""copied_top_level_best_pick"", ""corrected_absolute_cents_total:100->111"", ""normalized_signed_allocation_cents_l1:111""]"
0.27027027027027023,True,3,p027::Qwen/Qwen2.5-7B-Instruct::normal_04,0,2.0,0,2.0,B,baseline_replicate,,B,analysis,0.0,Qwen/Qwen2.5-7B-Instruct::normal_04,C,2.0,A,baseline_replicate,False,strict_allocation_invalid_recovered:absolute_total:111,p027,111.0,0.0,"[""absolute_total:111""]",False,,,,,4.0,"[""copied_top_level_borda_ranking"", ""copied_top_level_best_pick"", ""corrected_absolute_cents_total:100->111"", ""normalized_signed_allocation_cents_l1:111""]"
