prompt_id,evaluator_id,layer_index,layer_position,candidate_i,candidate_j,euclidean_distance,cosine_similarity,distance_to_self_i,distance_to_self_j,distance_to_self_difference_i_minus_j,distance_to_self_advantage_i_over_j,cosine_to_self_i,cosine_to_self_j,cosine_to_self_difference_i_minus_j,cosine_to_self_advantage_i_over_j,allocation_i,allocation_j,allocation_difference,abs_allocation_difference
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,16,0,A,B,11.107970237731934,0.9712916612625122,18.338930130004883,18.151792526245117,0.18713760375976562,-0.18713760375976562,0.9214361906051636,0.9216304421424866,-0.00019425153732299805,-0.00019425153732299805,0.25,0.2,0.04999999999999999,0.04999999999999999
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,16,0,A,C,12.448615074157715,0.9641628265380859,18.338930130004883,19.716365814208984,-1.3774356842041016,1.3774356842041016,0.9214361906051636,0.9038861989974976,0.017549991607666016,0.017549991607666016,0.25,-0.25,0.5,0.5
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,16,0,A,D,14.067054748535156,0.9549821019172668,18.338930130004883,14.71475887298584,3.624171257019043,-3.624171257019043,0.9214361906051636,0.9501898288726807,-0.02875363826751709,-0.02875363826751709,0.25,0.3,-0.04999999999999999,0.04999999999999999
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,16,0,B,C,10.4243803024292,0.9741613864898682,18.151792526245117,19.716365814208984,-1.5645732879638672,1.5645732879638672,0.9216304421424866,0.9038861989974976,0.017744243144989014,0.017744243144989014,0.2,-0.25,0.45,0.45
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,16,0,B,D,14.977813720703125,0.9484163522720337,18.151792526245117,14.71475887298584,3.4370336532592773,-3.4370336532592773,0.9216304421424866,0.9501898288726807,-0.028559386730194092,-0.028559386730194092,0.2,0.3,-0.09999999999999998,0.09999999999999998
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,16,0,C,D,16.967552185058594,0.9328485727310181,19.716365814208984,14.71475887298584,5.0016069412231445,-5.0016069412231445,0.9038861989974976,0.9501898288726807,-0.046303629875183105,-0.046303629875183105,-0.25,0.3,-0.55,0.55
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,16,0,A,B,14.77685546875,0.9510248303413391,16.41862678527832,13.894643783569336,2.5239830017089844,-2.5239830017089844,0.9372043609619141,0.9568241238594055,-0.019619762897491455,-0.019619762897491455,0.45,0.3,0.15000000000000002,0.15000000000000002
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,16,0,A,C,11.887040138244629,0.9666439890861511,16.41862678527832,19.206348419189453,-2.787721633911133,2.787721633911133,0.9372043609619141,0.9108738303184509,0.026330530643463135,0.026330530643463135,0.45,-0.15,0.6,0.6
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,16,0,A,D,11.583861351013184,0.9680785536766052,16.41862678527832,17.463335037231445,-1.044708251953125,1.044708251953125,0.9372043609619141,0.927361011505127,0.00984334945678711,0.00984334945678711,0.45,-0.1,0.55,0.55
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,16,0,B,C,18.83440399169922,0.9188686013221741,13.894643783569336,19.206348419189453,-5.311704635620117,5.311704635620117,0.9568241238594055,0.9108738303184509,0.04595029354095459,0.04595029354095459,0.3,-0.15,0.44999999999999996,0.44999999999999996
