prompt_id,evaluator_id,object_type,candidate_id,layer_index,layer_position,activation_norm,n_tokens,span_char_start,span_char_end
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,D,16,0,47.08631896972656,131,395,1033
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,A,16,0,46.626522064208984,93,1048,1519
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,B,16,0,45.88215637207031,118,1534,2092
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,C,16,0,43.56374740600586,190,2107,3055
p001,Qwen/Qwen2.5-7B-Instruct::normal_01,self_answer,SELF,16,0,45.81535720825195,170,724,1502
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,B,16,0,47.72960662841797,118,395,953
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,A,16,0,46.21467208862305,93,968,1439
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,D,16,0,44.81857681274414,131,1454,2092
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,C,16,0,43.58028030395508,190,2107,3055
p001,Qwen/Qwen2.5-7B-Instruct::normal_02,self_answer,SELF,16,0,46.4360237121582,115,724,1269
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,C,16,0,45.68915939331055,190,395,1343
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,A,16,0,46.89697265625,93,1358,1829
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,D,16,0,44.3367805480957,131,1844,2482
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,B,16,0,45.899810791015625,118,2497,3055
p001,Qwen/Qwen2.5-7B-Instruct::normal_03,self_answer,SELF,16,0,46.739192962646484,125,724,1320
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,D,16,0,47.08631896972656,131,395,1033
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,C,16,0,44.62851333618164,190,1048,1996
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,A,16,0,45.9614143371582,93,2011,2482
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,B,16,0,45.879512786865234,118,2497,3055
p001,Qwen/Qwen2.5-7B-Instruct::normal_04,self_answer,SELF,16,0,46.40700912475586,111,724,1235
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,C,16,0,46.07774353027344,276,408,1974
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,B,16,0,49.04587173461914,65,1989,2301
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,D,16,0,47.273193359375,95,2316,2848
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,A,16,0,50.77848815917969,40,2863,3093
p002,Qwen/Qwen2.5-7B-Instruct::normal_01,self_answer,SELF,16,0,49.37431335449219,95,737,1290
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,D,16,0,50.04200744628906,95,408,940
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,B,16,0,49.52202224731445,65,955,1267
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,A,16,0,51.21458435058594,40,1282,1512
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,C,16,0,44.67072296142578,276,1527,3093
p002,Qwen/Qwen2.5-7B-Instruct::normal_02,self_answer,SELF,16,0,48.676475524902344,87,737,1243
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,D,16,0,50.04200744628906,95,408,940
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,B,16,0,49.52202224731445,65,955,1267
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,A,16,0,51.21458435058594,40,1282,1512
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,C,16,0,44.67072296142578,276,1527,3093
p002,Qwen/Qwen2.5-7B-Instruct::normal_03,self_answer,SELF,16,0,49.58692169189453,67,737,1131
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,B,16,0,49.635093688964844,65,408,720
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,A,16,0,51.29322814941406,40,735,965
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,C,16,0,45.15091323852539,276,980,2546
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,D,16,0,47.547672271728516,95,2561,3093
p002,Qwen/Qwen2.5-7B-Instruct::normal_04,self_answer,SELF,16,0,49.23353576660156,83,737,1225
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,C,16,0,47.59804153442383,384,389,2151
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,B,16,0,46.086673736572266,187,2166,3047
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,D,16,0,44.70841979980469,248,3062,4317
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,A,16,0,45.25126266479492,113,4332,4934
p003,Qwen/Qwen2.5-7B-Instruct::normal_01,self_answer,SELF,16,0,47.41721725463867,254,718,2093
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,D,16,0,47.32234573364258,248,389,1644
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,A,16,0,46.412967681884766,113,1659,2261
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,C,16,0,45.607765197753906,384,2276,4038
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,candidate,B,16,0,44.63725280761719,187,4053,4934
p003,Qwen/Qwen2.5-7B-Instruct::normal_02,self_answer,SELF,16,0,47.471351623535156,174,718,1683
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,B,16,0,48.005794525146484,187,389,1270
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,D,16,0,45.11180877685547,248,1285,2540
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,C,16,0,45.45552444458008,384,2555,4317
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,candidate,A,16,0,45.471527099609375,113,4332,4934
p003,Qwen/Qwen2.5-7B-Instruct::normal_03,self_answer,SELF,16,0,47.35474395751953,205,718,1854
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,D,16,0,47.32234573364258,248,389,1644
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,A,16,0,46.412967681884766,113,1659,2261
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,C,16,0,45.607765197753906,384,2276,4038
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,candidate,B,16,0,44.63725280761719,187,4053,4934
p003,Qwen/Qwen2.5-7B-Instruct::normal_04,self_answer,SELF,16,0,48.7999267578125,228,718,1992
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,A,16,0,52.53073501586914,43,408,632
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,D,16,0,48.81262969970703,151,647,1527
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,C,16,0,48.22903823852539,384,1542,3723
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,candidate,B,16,0,47.4933967590332,145,3738,4582
p004,Qwen/Qwen2.5-7B-Instruct::normal_01,self_answer,SELF,16,0,48.59342575073242,384,737,2907
